sentiment,tweet
neutral,Happy Monday tweeples... hope it wasn`t to hard to get out of bed and back in gear!
negative,I can`t believe I thought I had a morning shift today and told Alex that I could take him to the airport.  His flight is during my shift!
neutral,So its Superstar Sunday?  is one superstar I know   #sunday
positive,yay i hit 50 subscribers on youtube. go me  lol.
neutral,Today = marking *135
negative," hey, got your text sms. i plan on maybe just catching a flick tonight. last night was a wee bit too much for me"
positive,It`s raining that fine rain!!! U know the fine rain that wets you the most
positive,"yay, just got my stuff from rygegrej.dk  Perfect tastes like banana and apple"
negative,zoita had a cardio apt. 2day. doc says her hole-in-the-heart hasn`t closed. she`ll need the surgery to close it http://ghurm.tumblr.com
negative,Okay i feel really sick now
positive,Subway=yum!
positive,Happy monday  up and about going to tavares today. Hope everyone has a blessed day!
positive,"Thanks to good friends for coming out, hanging out and being our ears out there, you know who you are"
positive, discover a whole new beautiful you
positive,"Have lots 2do as usual! laundry, thanking God, cleaning house, praising God, cutting the hedge and thanking and praising God some more!"
positive, Thanks for the recommendation
positive," It has, however, got me out of doing the gardening - something for which I am eternally pleased"
negative,missing  on his birthday
neutral, I left mine in music...i think i don`t have a camera anymore
negative, Sorrry  I`m ready to leave.
positive,is going out for dinner... just the two of us... niceeeee
positive,- had a great time at the `block party` - so did mackenzie
negative,Yeah I think I touched something that had mikes germs on it because I have a sore throat now  dammit I knew I should have not gone there!
negative,aww my friend just called and said that she got a better job so she won`t be working with me anymore
positive,"Crisis averted!  Phew! On a different note,  and ....you guys are making me so proud! tear!  wish i could have joined"
positive," Just wanted to point out that on Youtube, you have more subscribers than Tom Felton. Thought that might make you happy."
positive,"me 10 - 630, andrew 8 - 4. No idea about the rest, I think it was Ben and Princeton which could be fun  lol I`m going to be late"
negative,"bout to watch notorious cause that`s how i`m feelin now. wish i could eat something, but i can`t.  surgery tomorrow. no food til saturday"
negative,http://twitpic.com/66vld - i don`t like this bangs! I want my hair back!
negative,"Or this, for that matter: http://bit.ly/SS6Yp  So jealous."
neutral, It was on my CNN subscription on Google Reader. I couldn`t help but repost it
negative,jus sittin in da libray and this stupid computer wont let me order any mac foundation
positive, hotttie poooh!!!! ooo i bet it sounda magical (HH) im coming home in 1 hour
negative,mary hates me again  i wana walmart it butno one wants to go
